platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,JA
177,Albanese,Franco,SVP,JA
52,Alder,Ronald,GLP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,--
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,JA
17,Bärtschiger,Markus,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,NEIN
130,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,JA
2,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,JA
66,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,--
68,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,NEIN
143,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
138,Grüter,Barbara,SVP,JA
33,Gschwind,Benedikt,SP,JA
24,Günthard Fitze,Barbara,EVP,JA
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,NEIN
96,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,NEIN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
156,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,--
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
099,Jäger,Alexander,FDP,NEIN
046,Joss,Rosmarie,SP,JA
