platz,nachname,vorname,partei,stimme
184,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,--
125,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
171,Bär,Hansruedi,SVP,--
10,Barrile,Angelo,SP,JA
75,Bellaiche,Judith,GLP,JA
163,Berger,Antoine,FDP,--
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,--
111,Borer,Anita,SVP,--
79,Brazerol,Rico,BDP,--
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
69,Dietschi,Urs,Grüne,--
99,Egli,Hans,EDU,JA
4,Egli,Karin,SVP,--
42,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,--
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,--
16,Frei,Daniel,SP,JA
178,Frei,Hans,SVP,--
161,Frey,Beatrix,FDP,--
147,Furrer,Astrid,FDP,--
138,Fürst,Reinhard,SVP,--
106,Gantner,Alex,FDP,--
144,Geistlich,Andreas,FDP,--
30,Göldi,Hanspeter,SP,JA
14,Gschwind,Benedikt,SP,JA
88,Gugger,Nik,EVP,JA
78,Gut,Astrid,BDP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
134,Habicher,Lorenz,SVP,--
169,Haderer,Willy,SVP,--
149,Haller,Margrit,SVP,--
146,Hänni,Cäcilia,FDP,--
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
23,Häusler,Edith,Grüne,JA
51,Heierli,Daniel,Grüne,JA
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,--
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
175,Hofer,Jacqueline,SVP,--
131,Hofmann,Olivier,FDP,--
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,--
87,Huber,Stefanie,GLP,JA
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,--
167,Isliker,Walter,SVP,--
1,Johner,Brigitta,FDP,--
46,Joss,Rosmarie,SP,JA
50,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
77,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,--
128,Kläy,Dieter,FDP,--
129,Kull-Benz,Katharina,FDP,--
160,Kündig,Jörg,FDP,--
101,Kutter,Philipp,CVP,--
095,Kyburz,Heinz,EDU,JA
063,Lais,Ruedi,SP,JA
007,Lalli,Emy,SP,JA
139,Langhard,Walter,SVP,--
174,Langhart,Konrad,SVP,--
065,Läubli,Hans,Grüne,JA
080,Lenggenhager,Marcel,BDP,JA
057,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,--
026,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,--
027,Marthaler,Thomas,SP,JA
036,Marti,Res,Grüne,JA
170,Menzi,Ruedi,SVP,--
153,Mettler,Christian,SVP,--
029,Meyer,Mattea,SP,JA
168,Moor-Schwarz,Ursula,SVP,--
031,Munz,Roland,SP,JA
024,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
037,Petri,Gabi,Grüne,JA
093,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
053,Rappazzo,Pierre,GLP,JA
157,Raths,Hans Heinrich,SVP,--
091,Reinhard,Peter,EVP,JA
156,Rinderknecht,Margreth,SVP,--
090,Ritschard,Peter,EVP,JA
